zone_id,sample_id,rssi_ap1,rssi_ap2,rssi_ap3,rssi_ap4,latency_ap1,latency_ap2,latency_ap3,latency_ap4
1,1,-44.5,-88.4,-71.68,-83.37,69.98,-1.0,171.52,124.4
1,2,-51.31,-77.94,-75.58,-87.13,76.99,144.66,186.43,-1.0
1,3,-45.79,-81.32,-75.83,-81.11,71.81,141.92,182.91,121.01
1,4,-43.71,-84.94,-74.3,-84.32,70.2,144.91,172.64,121.74
1,5,-47.98,-77.38,-73.23,-88.75,74.02,138.38,179.84,-1.0
1,6,-46.66,-86.92,-71.5,-83.16,73.62,-1.0,179.02,125.48
1,7,-38.76,-84.1,-67.88,-83.14,66.63,149.63,166.14,117.79
1,8,-40.39,-87.33,-72.2,-83.27,70.65,-1.0,179.12,125.66
1,9,-45.16,-75.75,-73.75,-79.77,69.73,140.99,180.52,116.05
1,10,-40.58,-86.46,-66.7,-88.13,72.51,-1.0,162.57,-1.0
1,11,-37.69,-78.43,-68.83,-84.46,69.69,142.63,176.0,123.09
1,12,-51.78,-82.99,-74.08,-88.16,82.37,150.38,175.73,-1.0
1,13,-41.4,-81.07,-78.98,-79.09,73.06,142.13,193.38,115.13
1,14,-42.87,-84.16,-70.19,-84.71,69.28,147.02,181.03,115.98
1,15,-43.56,-75.17,-67.37,-82.53,74.98,134.33,162.86,117.88
1,16,-43.14,-86.72,-74.65,-86.76,72.35,-1.0,188.5,-1.0
1,17,-36.76,-85.9,-70.01,-82.44,65.83,-1.0,170.14,115.65
1,18,-42.31,-81.35,-76.28,-80.96,73.92,148.69,188.62,114.96
1,19,-48.04,-87.51,-69.32,-77.54,73.75,-1.0,164.89,111.52
1,20,-43.7,-79.19,-75.32,-82.93,68.18,150.46,174.1,119.74
1,21,-49.27,-77.23,-72.77,-87.32,77.93,139.51,183.77,-1.0
1,22,-40.46,-80.41,-70.02,-89.14,66.16,140.19,171.47,-1.0
1,23,-43.08,-80.08,-73.71,-87.76,69.95,141.58,177.59,-1.0
1,24,-45.83,-82.84,-77.74,-81.67,77.08,142.03,191.56,113.59
1,25,-48.73,-84.15,-71.49,-74.61,75.81,157.58,177.76,112.89
1,26,-39.31,-87.89,-65.56,-90.55,67.02,-1.0,174.0,-1.0
1,27,-38.23,-90.62,-70.69,-86.8,68.61,-1.0,176.01,-1.0
1,28,-41.2,-82.82,-68.91,-79.88,66.77,154.1,164.3,120.56
1,29,-44.32,-90.77,-77.9,-88.97,74.87,-1.0,186.05,-1.0
1,30,-44.95,-80.86,-71.34,-87.3,75.54,153.73,182.69,-1.0
1,31,-48.97,-88.59,-70.22,-83.88,75.52,-1.0,182.32,123.13
1,32,-46.65,-81.95,-70.56,-83.81,74.56,146.97,182.12,123.27
1,33,-44.34,-76.34,-74.13,-84.37,68.76,143.6,182.6,121.08
1,34,-39.75,-80.58,-77.68,-78.82,70.05,151.89,187.74,112.57
1,35,-38.26,-80.49,-70.42,-84.62,70.13,140.67,168.17,126.94
1,36,-44.61,-79.9,-75.49,-82.99,69.47,146.94,188.47,117.09
